movie_id,genre
5038,Drama
5038,Romance
273271,Thriller
273271,Science Fiction
91551,Animation
91551,Drama
9705,Action
9705,Crime
9705,Thriller
11892,Crime
11892,Drama
11892,Thriller
2289,Drama
4982,Drama
4982,Crime
28355,Horror
28355,Mystery
28355,Thriller
86838,Comedy
86838,Crime
51996,Crime
51996,Drama
4836,Drama
4836,Thriller
4836,Crime
5137,Mystery
5137,Action
5137,Thriller
5137,Science Fiction
5137,Adventure
15516,Horror
15516,Thriller
10411,Comedy
7862,Drama
7862,War
33831,Crime
33831,Drama
9509,Action
9509,Drama
9509,Thriller
9509,Crime
1583,Comedy
14533,Drama
14533,Romance
5072,Horror
5072,Comedy
5072,Thriller
13704,Comedy
13704,Family
9966,Mystery
9966,Thriller
9966,Horror
13680,Comedy
13680,Family
20704,Comedy
11603,Drama
11603,Thriller
11603,TV Movie
31203,Comedy
26035,Drama
26035,Romance
9946,Action
9946,Fantasy
9946,Horror
9946,Mystery
2652,Drama
2652,Thriller
121875,Comedy
121875,Drama
121875,Mystery
121875,Thriller
32528,TV Movie
32528,Action
32528,Drama
32528,History
561,Drama
561,Fantasy
561,Horror
256917,War
256917,Drama
10741,History
10741,Drama
9531,Comedy
9531,Action
9531,Adventure
9531,Fantasy
9531,Science Fiction
336,Western
404378,Drama
404378,Family
404378,Comedy
41602,Action
41602,Comedy
41602,Drama
41602,Romance
41602,Thriller
84204,Science Fiction
84204,Comedy
84204,Thriller
84204,Horror
15283,Adventure
15283,Animation
15283,Fantasy
9927,Comedy
9952,Adventure
9952,Drama
9952,War
6973,History
6973,Drama
6973,Thriller
6973,Crime
6973,Mystery
26505,Adventure
26505,Fantasy
26505,Animation
26505,Family
174188,Comedy
174188,Fantasy
174188,Horror
20694,Animation
20694,Family
21634,Drama
21634,History
21634,TV Movie
24226,Drama
43209,Action
43209,Adventure
43209,History
87421,Science Fiction
87421,Action
87421,Thriller
214030,Comedy
5165,Drama
5165,Mystery
15024,Drama
15024,Fantasy
249397,Drama
249397,Mystery
9614,Comedy
13333,Drama
13333,Action
13333,Thriller
13333,Crime
43539,Romance
43539,Drama
43539,Thriller
43539,Crime
4176,Drama
4176,Thriller
4176,Mystery
37719,Comedy
59006,Comedy
14097,Drama
14097,History
14097,War
14097,Action
10596,Action
10596,Adventure
10596,Science Fiction
10596,Thriller
11343,Mystery
11343,Horror
11343,Thriller
70703,Documentary
70703,Science Fiction
224141,Fantasy
224141,Comedy
224141,Music
56288,Family
56288,Comedy
56288,Action
4954,Action
4954,Adventure
4954,Thriller
5143,Comedy
5143,Drama
298583,Comedy
298583,Romance
241765,Action
241765,Crime
241765,Drama
241765,Mystery
241765,Thriller
10054,Action
10054,Comedy
10054,Family
10054,Adventure
23194,Western
70435,Action
70435,Thriller
78215,Action
78215,Drama
10616,Action
10616,Comedy
16007,Fantasy
16007,Mystery
16007,Thriller
14405,Adventure
14405,Comedy
14405,Family
10569,Action
10569,Comedy
10569,Crime
10534,Action
10534,Drama
6972,Drama
300441,Comedy
300441,Family
291869,Drama
18976,War
18976,Action
18976,Adventure
18976,Drama
18976,History
18976,Romance
9320,Thriller
2280,Fantasy
2280,Drama
2280,Comedy
2280,Romance
2280,Family
14859,Drama
14859,Family
14859,Romance
458506,Comedy
458506,TV Movie
111237,Action
111237,Adventure
111237,Fantasy
111237,War
293771,Horror
293771,Science Fiction
206408,Comedy
206408,Drama
206408,Romance
10603,Adventure
10603,Comedy
10603,Family
10603,Romance
57825,Drama
57825,Comedy
57825,Music
57825,Romance
29235,Drama
29235,Mystery
29235,Horror
354859,History
354859,Romance
354859,Drama
12201,Crime
12201,Drama
12201,Mystery
12201,Thriller
802,Drama
802,Romance
10629,Drama
10629,Crime
10629,Thriller
14819,Comedy
14819,Family
14819,Drama
10196,Action
10196,Adventure
10196,Family
10196,Fantasy
222899,Comedy
222899,Romance
8280,Comedy
8280,Drama
70578,Crime
70578,Drama
70578,Thriller
3132,Action
3132,Adventure
3132,Comedy
3132,Thriller
88912,Drama
200,Science Fiction
200,Action
200,Adventure
200,Thriller
2011,Animation
2011,Drama
261392,Comedy
261392,Action
58857,Adventure
58857,Drama
58857,Action
17457,Action
17457,Comedy
17457,Horror
45054,Drama
1833,Drama
1833,Romance
88794,Drama
88794,Crime
88794,History
183011,Fantasy
183011,Science Fiction
183011,Animation
183011,Action
183011,Adventure
283350,Drama
283350,Romance
283350,Comedy
1715,Drama
38360,Drama
38360,Romance
38360,War
72570,Drama
72570,Romance
1586,Thriller
1586,Mystery
11713,Drama
11713,Action
11713,Thriller
22949,Comedy
22949,Family
18533,Drama
18533,Action
18533,Crime
25504,Drama
25504,Mystery
25504,Thriller
376660,Comedy
376660,Drama
8438,Crime
8438,Drama
5289,Drama
5289,Action
