movie_id,director
10092,Jeff Wadlow
198185,Craig Gillespie
305943,Andy Goddard
28384,Woody Allen
291413,Phil Claydon
9394,Enzo Barboni
301804,Mike Flanagan
228066,Paul McGuigan
16550,Todd Solondz
28942,David Cronenberg
15264,Edwin L. Marin
912,Norman Jewison
244772,Craig Johnson
4934,Vincent McEveety
20197,Thomas K. Avildsen
18359,Mike Barker
3050,Betty Thomas
1024,Peter Jackson
6877,Tom Dey
15544,Adam Jay Epstein
15544,Andrew Jacobson
1667,Luc Jacquet
1667,Jérôme Maison
213681,Jared Hess
19840,Chris Columbus
9593,John McTiernan
157851,David Cronenberg
1965,Andrew Davis
408439,Ben Young
252512,Noah Baumbach
12778,Jonathan Lynn
285783,Robert Zemeckis
12239,Sam Peckinpah
1523,Kevin Macdonald
9708,Neil LaBute
19366,Harry Elfont
19366,Deborah Kaplan
71676,Brian Taylor
71676,Mark Neveldine
323675,Tim Story
323675,Tim Story
38050,George Nolfi
2609,John Hughes
24100,Uli Edel
1738,Lee Tamahori
9732,Darrell Rooney
100241,Stuart Beattie
20539,Nicholas Hytner
80184,Andrés Baiz
17918,Wes Craven
109418,Dennis Dugan
1662,Phil Joanou
5259,Eran Kolirin
37933,Goro Miyazaki
9506,Peter Segal
20737,Charles Martin Smith
12162,Kathryn Bigelow
297961,Mikael Salomon
49009,Peter Weir
22672,Armand Mastroianni
7227,Jerry Jameson
16553,Mark Levin
10720,Peyton Reed
26603,Brian Gilbert
22377,John Wayne
356296,Stefano Sollima
27088,Boaz Davidson
865,Paul Michael Glaser
21724,Damien Dante Wayans
33076,Gary Weis
193610,Nick Cassavetes
46529,D.J. Caruso
16608,John Hillcoat
1255,Bong Joon-ho
124459,Don Scardino
8879,Clint Eastwood
11702,Antoine Fuqua
79548,Heitor Dhalia
286521,Richard Loncraine
31597,Peter Hyams
7518,Karey Kirkpatrick
7518,Tim Johnson
57089,Mike Disa
11033,Brian De Palma
4421,Ridley Scott
11648,Gary David Goldberg
12140,Mamoru Oshii
13998,Noah Baumbach
2898,James L. Brooks
12579,François Truffaut
10536,Peter Collinson
4942,George Clooney
11469,Gil Junger
2277,Chris Columbus
49524,Robert Schwentke
9388,Jason Reitman
14248,Anthony Leondis
4816,Jim Jarmusch
58985,Allison Anders
227719,Dean Israelite
7342,David Carson
376659,Jon Lucas
376659,Scott Moore
828,Robert Wise
1090,Josef Rusnak
668,Peter R. Hunt
9422,Steven Zaillian
11451,Angela Robinson
3902,Todd Haynes
13067,Jon Kasdan
11689,Enzo Barboni
25196,Scott Cooper
26912,Roy Ward Baker
11535,John McTiernan
242828,Hiromasa Yonebayashi
3034,Mel Brooks
10093,Asif Kapadia
13161,Rob Schneider
9545,Luis Llosa
77949,Nick Murphy 
171424,Eli Roth
10631,Carl Reiner
26103,Albert Pyun
430988,Sergey Ginzburg
990,Robert Rossen
16288,Michael Gornick
106021,Philipp Stölzl
466,Alan J. Pakula
20858,Hal Ashby
580,Joseph Sargent
305932,Alex Goyette
11806,Brian Levant
75258,Peggy Holmes
75258,Roberts Gannaway
14174,Clément Virgo
10234,Michael Haneke
13374,Tim Fywell
102000,Ursula Meier
282813,Grégory Levasseur
8325,Matthew Bright
149870,Hayao Miyazaki
7972,Sidney Lumet
14728,Jonathan Frakes
288281,Peter Askin
7096,Steve Barron
7229,Francis Veber
11419,Stephen Kessler
10307,Rupert Wainwright
8489,Michael Mann
9550,Zhang Yimou
2760,Alfred Hitchcock
170689,Eric Rochant
13363,Richard Schenkman
9606,Rintaro
7978,Joe Johnston
22307,Brian De Palma
13387,Olivier Megaton
8989,William Dear
50647,David Wain
2099,John Irvin
84329,Jake Schreier
11609,Mel Damski
13428,Gregor Jordan
23706,Phil Traill
14537,Masaki Kobayashi
315011,Hideaki Anno
315011,Shinji Higuchi
10443,Peter Weir
17263,Rowdy Herrington
11590,George Roy Hill
10152,Troy Miller
14359,John Patrick Shanley
7340,Brian De Palma
12160,Lawrence Kasdan
13474,Franck Khalfoun
42297,Steve Antin
9722,Nora Ephron
15513,Doug Ellin
10996,Rob Minkoff
9381,Mathieu Kassovitz
7520,Roger Donaldson
10156,Mel Brooks
4614,Phil Alden Robinson
50546,Dennis Dugan
24446,Ron Underwood
192142,A.J. Edwards
10200,Scott Derrickson
36915,Phil Joanou
9779,Ken Kwapis
10668,Peter O'Fallon
9737,Michael Bay
60672,Olivier Dahan
841,David Lynch
371645,Taika Waititi
251994,John Herzfeld
70588,David Robert Mitchell
10799,Chris Nahon
10985,Ed Decter
11008,Nick Castle
15011,Paddy Breathnach
106747,Robert Rodriguez
15302,Leslie Iwerks
306947,Karyn Kusama
339397,Woody Allen
11093,Vadim Perelman
45772,Kelly Asbury
1722,John Madden
914,Charlie Chaplin
281780,Yoon Jong-bin
13637,Takashi Miike
234212,Will Canon
10912,Delbert Mann
17124,Jay Lowi
8856,John G. Avildsen
74534,John Madden
329829,Mika Kaurismäki
14811,Norman Jewison
227200,Kyran Kelly
3683,Clint Eastwood
10285,Adam Marcus
11071,Gordon Douglas
426272,Pat Healy
329263,Bora Dağtekin
1878,Terry Gilliam
13001,Robert C. Cooper
134374,Michael Bay
2290,Peter Kassovitz
1702,Stephen Norrington
27361,Louis Malle
333663,John Michael McDonagh
85414,Gabe Torres
2895,Robert Duvall
9455,James Foley
215962,John Butler
10344,Chris Walas
9404,Stanley Tong
8284,Jim Jarmusch
12577,Gérard Pirès
39141,Gary Winick
260312,Cécile Telerman
25602,Isaac Florentine
9652,Michelangelo Antonioni
67675,Kevin Tancharoen
249688,James Ponsoldt
70862,Elijah Drenner
96,Tony Scott
819,Barry Levinson
174337,Jenée LaMarque
3021,Mikael Håfström
347031,Dan Kwan
347031,Daniel Scheinert
31894,Robert Markowitz
9061,Arne Glimcher
790,John Carpenter
13763,Albert Magnoli
52001,Ciaran Foy
838,George Lucas
182560,Gilles Paquet-Brenner
40001,Richard Benjamin
146301,Gregory Plotkin
356500,Christopher Smith
14557,Alan Cohn
3053,Roman Polanski
14911,Peter Markle
18632,David Hewlett
1630,Miloš Forman
452,Lars von Trier
4564,Michael Patrick King
9464,Vincent Gallo
152780,Asghar Farhadi
22832,James McTeigue
19585,Hoyt Yeatman
12548,Federico Fellini
14709,Brian Robbins
11653,Stanley Tong
4688,Julie Taymor
146229,Olly Blackburn
29426,George A. Romero
11485,Woody Allen
2142,James Mangold
137093,Jon Turteltaub
2698,Tom Shadyac
259956,Jesse Zwick
25610,John Power
5937,Florian Gallenberger
9038,Bobby Farrelly
9038,Peter Farrelly
397,Lawrence Kasdan
75761,Don Coscarelli
277834,Ron Clements
277834,John Musker
1817,Joel Schumacher
65759,George Miller
11658,Kang Je-gyu
242083,David Cross
180296,David Wain
15357,Patrick Alessandrin
11598,John Landis
45964,Fred Walton
48988,Bobby Farrelly
48988,Peter Farrelly
9267,Ian MacNaughton
4961,Guillermo del Toro
401104,Marti Noxon
14456,Paddy Breathnach
11335,Robert Altman
13203,Steve Rash
279229,Felix Fuchssteiner
279229,Katharina Schöde
8053,Tommy Lee Jones
324670,Nic Mathieu
374475,Maren Ade
11557,Joel Schumacher
234004,Jericca Cleland
234004,Kevin Munroe
243531,Mikael Salomon
190847,Ruairi Robinson
2112,Brian Helgeland
234200,Matthew Warchus
41233,Jon M. Chu
12764,Lance Hool
98948,Richard Schenkman
22954,Clint Eastwood
7445,Jim Sheridan
27004,Stephen Milburn Anderson
13523,Sean Anders
270010,Tom Tykwer
12919,Steve Rash
244458,Marjane Satrapi
957,Mel Brooks
10839,Sam Peckinpah
11397,Joel Gallen
1547,Joel Schumacher
377263,François Ozon
13090,Christine Jeffs
16558,Tony Gilroy
70009,Rich Cowan
11811,Mark Jones
398929,Philippe Lacheau
10550,Wych Kaosayananda
9731,Danny Steinmann
13012,Ric Roman Waugh
262,Martin Scorsese
216282,Steven Quale
334,Paul Thomas Anderson
5511,Jean-Pierre Melville
5511,Jean-Pierre Melville
5511,Jean-Pierre Melville
5511,Jean-Pierre Melville
133458,Lasse Hallström
42678,Josef von Sternberg
786,Cameron Crowe
22897,Nancy Meyers
378018,Jeremy Gillespie
378018,Steven Kostanski
4380,Peter Chelsom
16559,Albert Lewin
317144,Ben Chanan
34130,Jack Nicholson
156965,Stacie Passon
411009,Rod Blackhurst
411009,Brian McGinn
30793,Erle C. Kenton
24767,Charles Haid
1382,Miranda July
136,Tod Browning
18804,John Duigan
18573,André De Toth
36914,Rod Daniel
12158,Wes Craven
7350,Rob Reiner
70670,Morten Tyldum
26748,John Sayles
155084,Daniel Stamm
15121,Robert Wise
43829,Henry King
13179,Bradley Raymond
36419,Agnieszka Wojtowicz-Vosloo
17009,Joseph Barbera
17009,William Hanna
24793,Roger Young
10633,Norman Jewison
505,Walter Hill
43266,John Ford
4964,Judd Apatow
27331,Don Siegel
290764,Daniel Benmayor
287495,Giulio Ricciarelli
13007,Larry Charles
42852,Sam Wood
3121,Robert Altman
350312,S.S. Rajamouli
12473,Tom McCarthy
91586,James Wan
24736,Mikael Salomon
140441,Tsutomu Hanabusa
6519,Jay Chandrasekhar
253406,Shari Springer Berman
253406,Robert Pulcini
9519,Andrew Dominik
42669,Mervyn LeRoy
34851,Nimród Antal
4958,Robert Redford
14123,Sean McNamara
13690,Matthew O'Callaghan
13690,Todd Wilderman
353979,Carles Torrens
289720,Nick Powell
58770,David Koepp
5,Allison Anders
5,Alexandre Rockwell
5,Robert Rodriguez
5,Quentin Tarantino
301351,Max Joseph
801,Barry Levinson
51608,Lee Jeong-Beom
582,Florian Henckel von Donnersmarck
134366,John Poliquin
10157,Jerry Paris
79433,Kresten Vestbjerg Andersen
79433,Thorbjørn Christoffersen
79433,Philip Einstein Lipski
2067,Brian De Palma
116,Woody Allen
27899,Mervyn LeRoy
8970,Sam Weisman
2565,John Patrick Shanley
9882,Edward Zwick
11982,Tom Ropelewski
79927,Peter Richardson
41283,"George Tillman, Jr."
328901,Andrew Renzi
9085,Eddie Murphy
9639,Martin Weisz
8982,Prachya Pinkaew
21970,John Hough
169209,Dito Montiel
