movie_id,keyword
9603,make a match
9603,spoiled child
9603,gay interest
9603,conflict
9603,woman director
14166,sexual harassment
22004,ghetto
22004,hitman
22004,gang war
22004,treasure hunt
22004,revenge
22004,murder
22004,gang
22004,arson
22004,drug dealing
22004,gangster
22004,explosion
22004,drug overdose
22004,st. louis
22004,abandoned factory
11443,money
11443,loss of virginity
11443,hiding in a dumpster
11443,mercy killing
11443,armored truck
11443,crushed by a car
11069,small town
11069,stranded
11069,graboids
11069,giant worm
11069,oil refinery
11069,seismograph
11069,double barreled shotgun
11069,metamorphosis
11069,remote control car
11069,hunt
9981,father son relationship
9981,generations confilct
9981,sport
9981,amateur soccer
9981,soccer coach
509,london england
509,bookshop
509,birthday
509,new love
509,film maker
509,paparazzi
509,press conference
509,wheelchair
509,bath tub
509,cohabitant
509,friendship
509,fame
509,celebration
509,movie star
509,spectacle
19213,college
19213,sorority
19213,soro
2567,ladykiller
2567,pilot
2567,biography
2567,womanizer
2567,aviation
2567,phobia
2567,u.s. congress
2567,flying boat
2567,test flight
1694,overdose
1694,human experimentation
1694,black humor
1694,insanity
1694,reanimation
1694,laboratory
1694,mad scientist
1694,h.p. lovecraft
1694,decapitation
1694,severed head
1694,hospital
1694,student
1694,zombie
1694,splatter
1694,intestines
1694,death
1694,cult film
1694,black cat
1694,dead cat
1694,surgical operation
1694,reanimated corpse
1694,medical student
1694,medical school
14172,revenge
48231,based on novel
48231,psychoanalysis
48231,sigmund freud
48231,biography
48231,spanking
48231,based on play or musical
48231,cigar smoking
48231,cheating husband
48231,based on true events
17360,escape
17360,nazi germany
17360,soccer
381289,based on novel
381289,human animal relationship
381289,reincarnation
381289,grandparents
381289,dog
381289,firecracker
381289,adaptation
381289,deflated football
8836,extraterrestrial technology
8836,fbi
8836,alien
8836,fbi agent
8836,duringcreditsstinger
381040,brother brother relationship
381040,sibling rivalry
381040,blind
381040,woman director
79,countryside
79,loss of lover
79,right and justice
79,patriot
2246,married couple
2246,insurance fraud
2246,boarder
2246,suspense
2246,child wish
11596,fire
11596,kidnapping
11596,nightmare
11596,earthquake
11596,insomnia
11596,supernatural
11596,celebrity
11596,mascot
11596,alternate dimension
11596,fame
11596,hospital
11596,hollywood
11596,storytelling
11596,alternate reality
11596,self-referential
11596,reboot
11596,film industry
11596,disfigurement
11596,sleepwalking
11596,meta film
11596,dreams
11596,cameos
15472,rape
15472,journalist
15472,based on novel
15472,bondage
15472,island
15472,hacker
15472,strong woman
15472,blow job
15472,suspect
15472,antisocial personality disorder
15472,computer hacker
15472,newspaper man
82424,fast food restaurant
82424,toys
82424,fast food
82424,toy story
82424,pixar animation
51540,conspiracy of murder
51540,bad boss
51540,employee
51540,death of father
51540,stakeout
51540,duringcreditsstinger
342737,1970s
342737,balcony
342737,feminism
342737,feminist
342737,punk music
342737,mother son relationship
342737,generation gap
342737,santa barbara california
24405,prison
24405,sex
24405,handcuffs
24405,waitress
24405,fight
24405,fireworks
24405,nudity
24405,volcano
24405,navy
24405,road trip
24405,money
24405,escape
24405,convertible
24405,scam
24405,inmate
24405,escort
24405,military
24405,embezzlement
24405,nervous
9417,falsely accused
9417,death penalty
9417,violin
9417,attempt to escape
9417,violinist
9417,spoof
2486,based on novel
2486,mythical creature
2486,dragon
2486,fantasy world
2486,teenage hero
2486,based on young adult novel
50388,cryogenics
50388,supernatural powers
50388,mind control
50388,end of the world
50388,religious fanatic
50388,psychological drama
50388,virus
849,kingdom
849,lightsaber
849,cult favorite
849,dead body
849,magical object
849,fortress
849,doppelganger
849,cyclops
849,changeling
8467,gas station
8467,motel
8467,utah
8467,stupidity
8467,pill
8467,prank
8467,cigar smoking
8467,violence
8467,criminal
8467,fired from the job
8467,clumsiness
8467,stepmother stepdaughter relationship
8467,sitting on a toilet
8467,aspen colorado
8467,parakeet
8467,defecation
8467,scooter
8467,hotel suite
8467,endangered species
8467,foolish
8467,laxative
36819,treasure
36819,map
36819,magic
36819,time travel
36819,titanic
36819,cage
36819,steampunk
36819,minotaur
36819,independent film
36819,good vs evil
36819,tank
36819,burglary
68,bureaucracy
68,police state
68,terror
68,great britain
68,dream
